text_mat_subid,text_mat_age,text_mat_sex,data_mat_acc,data_mat_int,data_mat_r_int,types,features,emotions
formal_unmask_1,25,female,0.85,5.05,5.588235,real,eye,happy
formal_unmask_1,25,female,0.65,2.25,1,real,eye,neu
formal_unmask_1,25,female,0.3,3.55,4.833333,real,eye,sad
formal_unmask_1,25,female,0.05,2.1,2,real,eyeb,happy
formal_unmask_1,25,female,0.35,2.4,1.571429,real,eyeb,neu
formal_unmask_1,25,female,0,4.8,NaN,real,eyeb,sad
formal_unmask_1,25,female,0.95,5.35,5.421053,real,mouth,happy
formal_unmask_1,25,female,0.7,1.85,1.428571,real,mouth,neu
formal_unmask_1,25,female,0.6,3.4,4.583333,real,mouth,sad
formal_unmask_1,25,female,1,5,5,real,face,happy
formal_unmask_1,25,female,0.6,1.95,1.25,real,face,neu
formal_unmask_1,25,female,0.4,4.75,5.75,real,face,sad
formal_unmask_1,25,female,0,3.65,NaN,cart,eye,happy
formal_unmask_1,25,female,0.35,3.25,2.714286,cart,eye,neu
formal_unmask_1,25,female,0.3,4.3,6,cart,eye,sad
formal_unmask_1,25,female,0,2.65,NaN,cart,eyeb,happy
formal_unmask_1,25,female,0.55,2.55,2.454545,cart,eyeb,neu
formal_unmask_1,25,female,0.1,7.3,5.5,cart,eyeb,sad
formal_unmask_1,25,female,1,5.05,5.05,cart,mouth,happy
formal_unmask_1,25,female,0.15,2.65,3.333333,cart,mouth,neu
formal_unmask_1,25,female,0.9,6.25,6.111111,cart,mouth,sad
formal_unmask_1,25,female,1,5.05,5.05,cart,face,happy
formal_unmask_1,25,female,0.6,2.6,1.916667,cart,face,neu
formal_unmask_1,25,female,0.65,5.7,5.769231,cart,face,sad
formal_unmask_2,21,female,0.7,5.6,5.7143,real,eye,happy
formal_unmask_2,21,female,0.35,5.05,5.2857,real,eye,neu
formal_unmask_2,21,female,0.2,6,7.25,real,eye,sad
formal_unmask_2,21,female,0.15,5.7,6,real,eyeb,happy
formal_unmask_2,21,female,0.7,5.75,5.9286,real,eyeb,neu
formal_unmask_2,21,female,0.1,6.3,7.5,real,eyeb,sad
formal_unmask_2,21,female,1,7.65,7.65,real,mouth,happy
formal_unmask_2,21,female,0.65,5.85,6.3077,real,mouth,neu
formal_unmask_2,21,female,0.05,5.8,7,real,mouth,sad
formal_unmask_2,21,female,0.95,8.35,8.3684,real,face,happy
formal_unmask_2,21,female,0.55,5.95,6.6364,real,face,neu
formal_unmask_2,21,female,0.6,6.65,6.75,real,face,sad
formal_unmask_2,21,female,0.2,6.05,5.75,cart,eye,happy
formal_unmask_2,21,female,0.45,6.05,6.6667,cart,eye,neu
formal_unmask_2,21,female,0.5,6.25,7,cart,eye,sad
formal_unmask_2,21,female,0.5,6.05,6.4,cart,eyeb,happy
formal_unmask_2,21,female,0.7,5.8,5.9286,cart,eyeb,neu
formal_unmask_2,21,female,0.15,6,5.6667,cart,eyeb,sad
formal_unmask_2,21,female,0.9,7.55,7.6667,cart,mouth,happy
formal_unmask_2,21,female,0.8,6.3,6.5,cart,mouth,neu
formal_unmask_2,21,female,0.45,6.7,6.8889,cart,mouth,sad
formal_unmask_2,21,female,0.95,7.45,7.5263,cart,face,happy
formal_unmask_2,21,female,0.7,6.1,6.2857,cart,face,neu
formal_unmask_2,21,female,0.95,7.4,7.4211,cart,face,sad
formal_unmask_3,21,male,0.95,6.15,6.2632,real,eye,happy
formal_unmask_3,21,male,0.4,4.55,4.375,real,eye,neu
formal_unmask_3,21,male,0.15,5.05,4.3333,real,eye,sad
formal_unmask_3,21,male,0.75,3.9,4.2667,real,eyeb,happy
formal_unmask_3,21,male,0.35,3.75,3.5714,real,eyeb,neu
formal_unmask_3,21,male,0.1,5.6,6,real,eyeb,sad
formal_unmask_3,21,male,0.95,6.8,6.8947,real,mouth,happy
formal_unmask_3,21,male,0.55,3.65,3.3636,real,mouth,neu
formal_unmask_3,21,male,0.1,4.1,4,real,mouth,sad
formal_unmask_3,21,male,0.95,7.4,7.5789,real,face,happy
formal_unmask_3,21,male,0.65,4.25,4.7692,real,face,neu
formal_unmask_3,21,male,0.6,5.95,6.1667,real,face,sad
formal_unmask_3,21,male,0.7,5.2,5,cart,eye,happy
formal_unmask_3,21,male,0.6,3.85,3,cart,eye,neu
formal_unmask_3,21,male,0.15,5.6,6,cart,eye,sad
formal_unmask_3,21,male,0.7,4.2,4.1429,cart,eyeb,happy
formal_unmask_3,21,male,0.2,2.8,2,cart,eyeb,neu
formal_unmask_3,21,male,0.1,5.15,5.5,cart,eyeb,sad
formal_unmask_3,21,male,1,5.05,5.05,cart,mouth,happy
formal_unmask_3,21,male,0.65,3.7,4.5385,cart,mouth,neu
formal_unmask_3,21,male,0.15,4.95,6.3333,cart,mouth,sad
formal_unmask_3,21,male,1,6.55,6.55,cart,face,happy
formal_unmask_3,21,male,0.75,3.3,3.8,cart,face,neu
formal_unmask_3,21,male,0.65,6.7,7.0769,cart,face,sad
formal_unmask_4,25,male,0.95,6.8,6.8947,real,eye,happy
formal_unmask_4,25,male,0.9,4.85,5,real,eye,neu
formal_unmask_4,25,male,0.45,5.75,6.3333,real,eye,sad
formal_unmask_4,25,male,0.2,4.85,5,real,eyeb,happy
formal_unmask_4,25,male,0.65,4.75,5,real,eyeb,neu
formal_unmask_4,25,male,0.35,6.9,6.5714,real,eyeb,sad
formal_unmask_4,25,male,1,8.2,8.2,real,mouth,happy
formal_unmask_4,25,male,0.75,4.85,5,real,mouth,neu
formal_unmask_4,25,male,0.35,5.5,6.5714,real,mouth,sad
formal_unmask_4,25,male,1,6.95,6.95,real,face,happy
formal_unmask_4,25,male,0.9,4.9,5,real,face,neu
formal_unmask_4,25,male,0.55,6.25,6.4545,real,face,sad
formal_unmask_4,25,male,0.4,5.95,6.375,cart,eye,happy
formal_unmask_4,25,male,0.55,5.55,5,cart,eye,neu
formal_unmask_4,25,male,0.25,6.5,6.8,cart,eye,sad
formal_unmask_4,25,male,0.9,6.45,6.6111,cart,eyeb,happy
formal_unmask_4,25,male,0.5,5.3,5,cart,eyeb,neu
formal_unmask_4,25,male,0.05,7,6,cart,eyeb,sad
formal_unmask_4,25,male,1,6.75,6.75,cart,mouth,happy
formal_unmask_4,25,male,0.95,5,5,cart,mouth,neu
formal_unmask_4,25,male,0.8,5.85,5.75,cart,mouth,sad
formal_unmask_4,25,male,1,7.1,7.1,cart,face,happy
formal_unmask_4,25,male,0.9,4.9,4.9444,cart,face,neu
formal_unmask_4,25,male,0.45,6.65,7.2222,cart,face,sad
formal_unmask_5,21,female,0.8,4.45,4.5625,real,eye,happy
formal_unmask_5,21,female,0.8,1.15,1,real,eye,neu
formal_unmask_5,21,female,0.3,3.95,3.3333,real,eye,sad
formal_unmask_5,21,female,0.1,1.15,2.5,real,eyeb,happy
formal_unmask_5,21,female,0.9,1.05,1,real,eyeb,neu
formal_unmask_5,21,female,0.7,3.05,3.1429,real,eyeb,sad
formal_unmask_5,21,female,1,4.85,4.85,real,mouth,happy
formal_unmask_5,21,female,0.95,1,1,real,mouth,neu
formal_unmask_5,21,female,0.2,1.35,2,real,mouth,sad
formal_unmask_5,21,female,1,4.15,4.15,real,face,happy
formal_unmask_5,21,female,1,1,1,real,face,neu
formal_unmask_5,21,female,0.8,2.25,2.4375,real,face,sad
formal_unmask_5,21,female,0.1,4.35,4.5,cart,eye,happy
formal_unmask_5,21,female,0.25,4.65,1.2,cart,eye,neu
formal_unmask_5,21,female,0.45,4.6,5.3333,cart,eye,sad
formal_unmask_5,21,female,0.35,1.9,2.7143,cart,eyeb,happy
formal_unmask_5,21,female,0.8,1.35,1.0625,cart,eyeb,neu
formal_unmask_5,21,female,0.95,7.25,7.4211,cart,eyeb,sad
formal_unmask_5,21,female,1,3.75,3.75,cart,mouth,happy
formal_unmask_5,21,female,1,1,1,cart,mouth,neu
formal_unmask_5,21,female,0.45,3.65,3.8889,cart,mouth,sad
formal_unmask_5,21,female,0.95,4.35,4.4211,cart,face,happy
formal_unmask_5,21,female,0.9,1.2,1,cart,face,neu
formal_unmask_5,21,female,0.7,5.45,6.0714,cart,face,sad
formal_unmask_6,22,female,0.9,5.2,5.333333,real,eye,happy
formal_unmask_6,22,female,0.55,2.05,1.272727,real,eye,neu
formal_unmask_6,22,female,0.55,4,4.909091,real,eye,sad
formal_unmask_6,22,female,0.05,1.35,1,real,eyeb,happy
formal_unmask_6,22,female,0.8,1.2,1,real,eyeb,neu
formal_unmask_6,22,female,0.4,5.65,4.875,real,eyeb,sad
formal_unmask_6,22,female,1,5.35,5.35,real,mouth,happy
formal_unmask_6,22,female,0.7,1.65,1.642857,real,mouth,neu
formal_unmask_6,22,female,0,2.65,NaN,real,mouth,sad
formal_unmask_6,22,female,0.95,5.1,5,real,face,happy
formal_unmask_6,22,female,0.65,1.75,1.692308,real,face,neu
formal_unmask_6,22,female,0.4,4.55,4.875,real,face,sad
formal_unmask_6,22,female,0.45,2.65,3.222222,cart,eye,happy
formal_unmask_6,22,female,0.25,2.65,1,cart,eye,neu
formal_unmask_6,22,female,0.1,2.75,5,cart,eye,sad
formal_unmask_6,22,female,0,1.55,NaN,cart,eyeb,happy
formal_unmask_6,22,female,0.75,1.45,1.2,cart,eyeb,neu
formal_unmask_6,22,female,0.35,3.45,3.714286,cart,eyeb,sad
formal_unmask_6,22,female,1,4.45,4.45,cart,mouth,happy
formal_unmask_6,22,female,0.95,1.4,1.263158,cart,mouth,neu
formal_unmask_6,22,female,0,4.4,NaN,cart,mouth,sad
formal_unmask_6,22,female,0.95,5.3,5.210526,cart,face,happy
formal_unmask_6,22,female,0.4,1.85,1,cart,face,neu
formal_unmask_6,22,female,0.55,4.65,5.545455,cart,face,sad
formal_unmask_7,25,female,0.65,4.45,4.769231,real,eye,happy
formal_unmask_7,25,female,0.45,4.15,5,real,eye,neu
formal_unmask_7,25,female,0.25,5.1,4.6,real,eye,sad
formal_unmask_7,25,female,0,3.7,NaN,real,eyeb,happy
formal_unmask_7,25,female,0.5,3.65,5,real,eyeb,neu
formal_unmask_7,25,female,0.3,5.85,5.5,real,eyeb,sad
formal_unmask_7,25,female,1,5.4,5.4,real,mouth,happy
formal_unmask_7,25,female,0.35,3.55,5,real,mouth,neu
formal_unmask_7,25,female,0.35,3.85,5,real,mouth,sad
formal_unmask_7,25,female,1,5.85,5.85,real,face,happy
formal_unmask_7,25,female,0.4,3.8,5,real,face,neu
formal_unmask_7,25,female,0.6,4.4,5.083333,real,face,sad
formal_unmask_7,25,female,0,3.9,NaN,cart,eye,happy
formal_unmask_7,25,female,0.35,3.55,5,cart,eye,neu
formal_unmask_7,25,female,0.75,4.75,5.266667,cart,eye,sad
formal_unmask_7,25,female,0.45,4.05,3.444444,cart,eyeb,happy
formal_unmask_7,25,female,0.25,3.4,5,cart,eyeb,neu
formal_unmask_7,25,female,0.35,6.05,6.714286,cart,eyeb,sad
formal_unmask_7,25,female,1,3.45,3.45,cart,mouth,happy
formal_unmask_7,25,female,0.65,3.75,4.923077,cart,mouth,neu
formal_unmask_7,25,female,0.35,5.05,5.571429,cart,mouth,sad
formal_unmask_7,25,female,0.95,4.85,4.842105,cart,face,happy
formal_unmask_7,25,female,0.45,3.65,5,cart,face,neu
formal_unmask_7,25,female,0.8,5.55,6,cart,face,sad
formal_unmask_8,24,female,0.85,7.5,7.5882,real,eye,happy
formal_unmask_8,24,female,0.35,4.9,4.2857,real,eye,neu
formal_unmask_8,24,female,0.55,6.35,7.0909,real,eye,sad
formal_unmask_8,24,female,0.1,6.6,4,real,eyeb,happy
formal_unmask_8,24,female,0.45,6.3,6.7778,real,eyeb,neu
formal_unmask_8,24,female,0.35,7.1,6.5714,real,eyeb,sad
formal_unmask_8,24,female,1,8.95,8.95,real,mouth,happy
formal_unmask_8,24,female,0.5,4.05,4.2,real,mouth,neu
formal_unmask_8,24,female,0.05,5.85,9,real,mouth,sad
formal_unmask_8,24,female,0.95,6.9,7,real,face,happy
formal_unmask_8,24,female,0.3,4.45,6.5,real,face,neu
formal_unmask_8,24,female,0.5,7.15,7.6,real,face,sad
formal_unmask_8,24,female,0.1,5.05,4,cart,eye,happy
formal_unmask_8,24,female,0.3,5,5,cart,eye,neu
formal_unmask_8,24,female,0.65,7.2,7.4615,cart,eye,sad
formal_unmask_8,24,female,0.95,2.65,2.4737,cart,eyeb,happy
formal_unmask_8,24,female,0.25,3.45,5,cart,eyeb,neu
formal_unmask_8,24,female,0.55,6.1,6,cart,eyeb,sad
formal_unmask_8,24,female,1,7.35,7.35,cart,mouth,happy
formal_unmask_8,24,female,0.95,6.25,6.2105,cart,mouth,neu
formal_unmask_8,24,female,1,6.7,6.7,cart,mouth,sad
formal_unmask_8,24,female,1,6.1,6.1,cart,face,happy
formal_unmask_8,24,female,0.15,2.85,4,cart,face,neu
formal_unmask_8,24,female,0.6,5.9,6.0833,cart,face,sad
formal_unmask_9,27,male,0.9,7.65,7.777778,real,eye,happy
formal_unmask_9,27,male,1,7.8,7.8,real,eye,neu
formal_unmask_9,27,male,0.05,7.5,7,real,eye,sad
formal_unmask_9,27,male,0.1,7.4,6.5,real,eyeb,happy
formal_unmask_9,27,male,0.8,7.45,7.5,real,eyeb,neu
formal_unmask_9,27,male,0,7.15,NaN,real,eyeb,sad
formal_unmask_9,27,male,1,8.6,8.6,real,mouth,happy
formal_unmask_9,27,male,1,7.6,7.6,real,mouth,neu
formal_unmask_9,27,male,0,7.8,NaN,real,mouth,sad
formal_unmask_9,27,male,1,7.85,7.85,real,face,happy
formal_unmask_9,27,male,0.85,7.2,7.235294,real,face,neu
formal_unmask_9,27,male,0.7,7.5,7.428571,real,face,sad
formal_unmask_9,27,male,0,7.75,NaN,cart,eye,happy
formal_unmask_9,27,male,0.65,7.75,7.692308,cart,eye,neu
formal_unmask_9,27,male,0.3,7.45,7.166667,cart,eye,sad
formal_unmask_9,27,male,0.2,7.85,7.75,cart,eyeb,happy
formal_unmask_9,27,male,0.8,7.85,8.0625,cart,eyeb,neu
formal_unmask_9,27,male,0.05,7.9,7,cart,eyeb,sad
formal_unmask_9,27,male,0.75,7.95,8.266667,cart,mouth,happy
formal_unmask_9,27,male,0.8,7.65,7.8125,cart,mouth,neu
formal_unmask_9,27,male,0.35,7.45,7.285714,cart,mouth,sad
formal_unmask_9,27,male,0.95,8,8.052632,cart,face,happy
formal_unmask_9,27,male,0.9,7.1,7.166667,cart,face,neu
formal_unmask_9,27,male,0.35,7.95,8,cart,face,sad
formal_unmask_10,23,female,0.8,5.45,5.125,real,eye,happy
formal_unmask_10,23,female,0.05,4.85,8,real,eye,neu
formal_unmask_10,23,female,0.3,5.9,6.166667,real,eye,sad
formal_unmask_10,23,female,0,5.1,NaN,real,eyeb,happy
formal_unmask_10,23,female,0.55,5.55,6.363636,real,eyeb,neu
formal_unmask_10,23,female,0.25,6.85,6.8,real,eyeb,sad
formal_unmask_10,23,female,1,6.3,6.3,real,mouth,happy
formal_unmask_10,23,female,0.7,4.9,6.142857,real,mouth,neu
formal_unmask_10,23,female,0.4,4.55,3.875,real,mouth,sad
formal_unmask_10,23,female,0.95,6.65,6.947368,real,face,happy
formal_unmask_10,23,female,0.55,6.05,8.181818,real,face,neu
formal_unmask_10,23,female,0.8,5.6,5.375,real,face,sad
formal_unmask_10,23,female,0.15,6.6,3.666667,cart,eye,happy
formal_unmask_10,23,female,0.45,6.65,7.777778,cart,eye,neu
formal_unmask_10,23,female,0.8,6.35,6.4375,cart,eye,sad
formal_unmask_10,23,female,0,7.7,NaN,cart,eyeb,happy
formal_unmask_10,23,female,0.85,8.25,8.588235,cart,eyeb,neu
formal_unmask_10,23,female,0.7,7.2,7.071429,cart,eyeb,sad
formal_unmask_10,23,female,1,5.15,5.15,cart,mouth,happy
formal_unmask_10,23,female,0.75,7.3,9,cart,mouth,neu
formal_unmask_10,23,female,0.85,4.2,3.941176,cart,mouth,sad
formal_unmask_10,23,female,1,5.75,5.75,cart,face,happy
formal_unmask_10,23,female,0.3,4.65,9,cart,face,neu
formal_unmask_10,23,female,1,6.65,6.65,cart,face,sad
formal_unmask_11,20,male,0.9,4.9,5.277778,real,eye,happy
formal_unmask_11,20,male,0.6,2.6,1.916667,real,eye,neu
formal_unmask_11,20,male,0.15,3.6,2.333333,real,eye,sad
formal_unmask_11,20,male,0.2,1.8,2.25,real,eyeb,happy
formal_unmask_11,20,male,0.55,1.9,1.818182,real,eyeb,neu
formal_unmask_11,20,male,0.85,5.55,5.882353,real,eyeb,sad
formal_unmask_11,20,male,1,7.15,7.15,real,mouth,happy
formal_unmask_11,20,male,0.35,2,1.714286,real,mouth,neu
formal_unmask_11,20,male,0.8,2.7,2.875,real,mouth,sad
formal_unmask_11,20,male,1,7.3,7.3,real,face,happy
formal_unmask_11,20,male,0.9,2.25,2.055556,real,face,neu
formal_unmask_11,20,male,0.7,5,5.071429,real,face,sad
formal_unmask_11,20,male,0,3.3,NaN,cart,eye,happy
formal_unmask_11,20,male,0.15,3.5,2,cart,eye,neu
formal_unmask_11,20,male,0.85,5.3,5.529412,cart,eye,sad
formal_unmask_11,20,male,0.55,3.15,4.181818,cart,eyeb,happy
formal_unmask_11,20,male,0.55,2.35,1.454545,cart,eyeb,neu
formal_unmask_11,20,male,0.9,6.7,6.777778,cart,eyeb,sad
formal_unmask_11,20,male,1,7.3,7.3,cart,mouth,happy
formal_unmask_11,20,male,0.9,2.1,2.111111,cart,mouth,neu
formal_unmask_11,20,male,0.9,5.05,5.444444,cart,mouth,sad
formal_unmask_11,20,male,1,7.25,7.25,cart,face,happy
formal_unmask_11,20,male,0.6,2.25,1.5,cart,face,neu
formal_unmask_11,20,male,1,6.45,6.45,cart,face,sad
formal_unmask_12,26,female,0.65,5.25,5.1538,real,eye,happy
formal_unmask_12,26,female,0.5,5.3,4.7,real,eye,neu
formal_unmask_12,26,female,0.3,5.7,5.5,real,eye,sad
formal_unmask_12,26,female,0.05,4.25,4,real,eyeb,happy
formal_unmask_12,26,female,0.75,4.55,4.6667,real,eyeb,neu
formal_unmask_12,26,female,0.2,5.65,6,real,eyeb,sad
formal_unmask_12,26,female,1,6.8,6.8,real,mouth,happy
formal_unmask_12,26,female,0.65,4.4,4.7692,real,mouth,neu
formal_unmask_12,26,female,0.1,4.3,4,real,mouth,sad
formal_unmask_12,26,female,0.8,7.45,7.9375,real,face,happy
formal_unmask_12,26,female,0.55,4.55,4.6364,real,face,neu
formal_unmask_12,26,female,0.5,5.8,5.8,real,face,sad
formal_unmask_12,26,female,0.25,4.85,4.4,cart,eye,happy
formal_unmask_12,26,female,0.4,5.25,4.75,cart,eye,neu
formal_unmask_12,26,female,0.9,5.35,5.3889,cart,eye,sad
formal_unmask_12,26,female,0.7,5,5.1429,cart,eyeb,happy
formal_unmask_12,26,female,0.25,4.95,5,cart,eyeb,neu
formal_unmask_12,26,female,0.5,5.4,5.4,cart,eyeb,sad
formal_unmask_12,26,female,0.9,5.6,5.6667,cart,mouth,happy
formal_unmask_12,26,female,0.5,4.9,5.2,cart,mouth,neu
formal_unmask_12,26,female,0.7,5.6,5.6429,cart,mouth,sad
formal_unmask_12,26,female,1,7.1,7.1,cart,face,happy
formal_unmask_12,26,female,0.7,4.5,4.5,cart,face,neu
formal_unmask_12,26,female,0.65,6.75,6.4615,cart,face,sad
formal_unmask_13,26,female,0.65,5.15,6,real,eye,happy
formal_unmask_13,26,female,0.9,1.65,1.5,real,eye,neu
formal_unmask_13,26,female,0.15,4.75,5,real,eye,sad
formal_unmask_13,26,female,0.05,1.85,2,real,eyeb,happy
formal_unmask_13,26,female,0.8,2.3,1.5625,real,eyeb,neu
formal_unmask_13,26,female,0.05,7,8,real,eyeb,sad
formal_unmask_13,26,female,0.95,7.9,8.052632,real,mouth,happy
formal_unmask_13,26,female,0.8,1.8,1.375,real,mouth,neu
formal_unmask_13,26,female,0.25,3.1,4.2,real,mouth,sad
formal_unmask_13,26,female,1,8.6,8.6,real,face,happy
formal_unmask_13,26,female,0.9,1.35,1.055556,real,face,neu
formal_unmask_13,26,female,0.25,5.4,4.8,real,face,sad
formal_unmask_13,26,female,0.1,5.7,6.5,cart,eye,happy
formal_unmask_13,26,female,0.7,4.95,4.928571,cart,eye,neu
formal_unmask_13,26,female,0.55,5.8,5.727273,cart,eye,sad
formal_unmask_13,26,female,0.9,5.2,5.055556,cart,eyeb,happy
formal_unmask_13,26,female,0.4,4.9,6.375,cart,eyeb,neu
formal_unmask_13,26,female,0,5.4,NaN,cart,eyeb,sad
formal_unmask_13,26,female,1,8.1,8.1,cart,mouth,happy
formal_unmask_13,26,female,0.75,6.1,6.733333,cart,mouth,neu
formal_unmask_13,26,female,0.2,6.05,5.75,cart,mouth,sad
formal_unmask_13,26,female,1,7.55,7.55,cart,face,happy
formal_unmask_13,26,female,0.7,4.25,4.5,cart,face,neu
formal_unmask_13,26,female,0.2,7.8,7.75,cart,face,sad
formal_unmask_14,24,female,0.9,6.9,7.111111,real,eye,happy
formal_unmask_14,24,female,0.45,4.45,5,real,eye,neu
formal_unmask_14,24,female,0.45,5.1,6.111111,real,eye,sad
formal_unmask_14,24,female,0.3,4.25,4,real,eyeb,happy
formal_unmask_14,24,female,0.3,4.65,5,real,eyeb,neu
formal_unmask_14,24,female,0.6,6.9,7.416667,real,eyeb,sad
formal_unmask_14,24,female,0.9,7.9,8.166667,real,mouth,happy
formal_unmask_14,24,female,0.25,4.15,5,real,mouth,neu
formal_unmask_14,24,female,0.3,4.9,6.166667,real,mouth,sad
formal_unmask_14,24,female,1,8.05,8.05,real,face,happy
formal_unmask_14,24,female,0.65,4.15,5,real,face,neu
formal_unmask_14,24,female,0.6,6.7,7.583333,real,face,sad
formal_unmask_14,24,female,0,5.3,NaN,cart,eye,happy
formal_unmask_14,24,female,0.15,5.5,5,cart,eye,neu
formal_unmask_14,24,female,0.8,6.85,7,cart,eye,sad
formal_unmask_14,24,female,0.9,5.05,5.111111,cart,eyeb,happy
formal_unmask_14,24,female,0,4.05,NaN,cart,eyeb,neu
formal_unmask_14,24,female,0.9,7.4,7.777778,cart,eyeb,sad
formal_unmask_14,24,female,1,7.05,7.05,cart,mouth,happy
formal_unmask_14,24,female,0,2.7,NaN,cart,mouth,neu
formal_unmask_14,24,female,0.15,6.4,6,cart,mouth,sad
formal_unmask_14,24,female,1,7.15,7.15,cart,face,happy
formal_unmask_14,24,female,0,2.5,NaN,cart,face,neu
formal_unmask_14,24,female,1,7.75,7.75,cart,face,sad
formal_unmask_15,18,male,0.9,6.65,6.7222,real,eye,happy
formal_unmask_15,18,male,0.75,5.15,5.0667,real,eye,neu
formal_unmask_15,18,male,0.5,5.75,6,real,eye,sad
formal_unmask_15,18,male,0.3,5.65,6,real,eyeb,happy
formal_unmask_15,18,male,0.85,5.25,5.2353,real,eyeb,neu
formal_unmask_15,18,male,0.6,5.75,5.8333,real,eyeb,sad
formal_unmask_15,18,male,0.95,8.65,8.7895,real,mouth,happy
formal_unmask_15,18,male,0.95,5.85,5.7895,real,mouth,neu
formal_unmask_15,18,male,0.15,5.85,6,real,mouth,sad
formal_unmask_15,18,male,1,8.1,8.1,real,face,happy
formal_unmask_15,18,male,0.9,6,5.9444,real,face,neu
formal_unmask_15,18,male,0.75,7.35,7.7333,real,face,sad
formal_unmask_15,18,male,0.3,5.7,5.6667,cart,eye,happy
formal_unmask_15,18,male,0.35,5.35,5.2857,cart,eye,neu
formal_unmask_15,18,male,0.6,5.65,5.75,cart,eye,sad
formal_unmask_15,18,male,0.65,5.5,5.6923,cart,eyeb,happy
formal_unmask_15,18,male,0.55,5.2,5.0909,cart,eyeb,neu
formal_unmask_15,18,male,0.8,6.4,6.625,cart,eyeb,sad
formal_unmask_15,18,male,0.85,6.15,6.2941,cart,mouth,happy
formal_unmask_15,18,male,0.9,5.25,5.2778,cart,mouth,neu
formal_unmask_15,18,male,0.55,6.8,7.5455,cart,mouth,sad
formal_unmask_15,18,male,1,8.7,8.7,cart,face,happy
formal_unmask_15,18,male,0.75,6.8,6.7333,cart,face,neu
formal_unmask_15,18,male,1,8.8,8.8,cart,face,sad
