ID,Gender,Age,cart_happy_acc,cart_neu_acc,cart_sad_acc,real_happy_acc,real_neu_acc,real_sad_acc,cart_acc,real_acc,total_mean
1,f,23,1,0.95,0.9,0.65,0.95,0.6,0.95,0.733333333,0.841666667
2,m,26,1,0.95,0.95,1,0.95,1,0.966666667,0.983333333,0.975
3,m,19,0.9,0.4,0.8,0.95,0.2,0.85,0.7,0.666666667,0.683333333
4,f,21,1,0.95,1,1,0.95,1,0.983333333,0.983333333,0.983333333
5,f,19,1,1,1,1,1,0.95,1,0.983333333,0.991666667
6,f,22,1,1,0.95,1,0.85,0.95,0.983333333,0.933333333,0.958333333
7,m,22,1,0.85,1,1,1,0.95,0.95,0.983333333,0.966666667
8,f,23,0.95,1,1,1,1,1,0.983333333,1,0.991666667
9,f,22,0.95,0.7,0.95,1,1,0.95,0.866666667,0.983333333,0.925
10,m,19,1,0.7,1,1,0.9,0.9,0.9,0.933333333,0.916666667
11,f,24,0.9,0.9,1,1,0.95,0.8,0.933333333,0.916666667,0.925
12,f,23,1,0.95,1,1,0.95,1,0.983333333,0.983333333,0.983333333
13,m,20,1,0.9,1,1,0.85,0.85,0.966666667,0.9,0.933333333
14,m,25,0.9,1,1,1,1,1,0.966666667,1,0.983333333
15,m,19,1,0.95,0.95,1,1,0.85,0.966666667,0.95,0.958333333
16,f,23,0.95,0.9,0.95,1,0.9,0.8,0.933333333,0.9,0.916666667
17,m,25,1,0.95,1,1,1,0.95,0.983333333,0.983333333,0.983333333
18,f,21,1,1,1,1,1,0.85,1,0.95,0.975
19,f,24,1,1,1,1,1,0.8,1,0.933333333,0.966666667
20,f,23,1,1,1,1,0.95,0.95,1,0.966666667,0.983333333
21,f,18,1,0.45,1,1,0.9,0.9,0.816666667,0.933333333,0.875
22,f,20,1,1,1,1,0.95,1,1,0.983333333,0.991666667
23,m,20,0.95,1,1,1,1,0.95,0.983333333,0.983333333,0.983333333
24,f,21,1,0.95,0.95,1,1,1,0.966666667,1,0.983333333
25,m,24,1,0.95,1,0.95,1,0.95,0.983333333,0.966666667,0.975
26,m,30,1,0.95,1,1,1,1,0.983333333,1,0.991666667
27,m,26,1,1,1,1,1,0.9,1,0.966666667,0.983333333
28,m,24,0.95,1,1,1,1,0.95,0.983333333,0.983333333,0.983333333
29,f,20,1,0.8,1,1,0.95,0.75,0.933333333,0.9,0.916666667
30,m,20,0.95,1,1,1,1,1,0.983333333,1,0.991666667